,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,Singlets Count,Singlets % Parent,Singlets % Grand Parent,Singlets % Total,Singlets Count/uL,iRBC_tdT- Count,iRBC_tdT- % Parent,iRBC_tdT- % Grand Parent,iRBC_tdT- % Total,iRBC_tdT- Count/uL,iRBC_tdT+ Count,iRBC_tdT+ % Parent,iRBC_tdT+ % Grand Parent,iRBC_tdT+ % Total,iRBC_tdT+ Count/uL,uRBCs Count,uRBCs % Parent,uRBCs % Grand Parent,uRBCs % Total,uRBCs Count/uL,iRBCs Count,iRBCs % Parent,iRBCs % Grand Parent,iRBCs % Total,iRBCs Count/uL
Exp4_SGE_07192023-Plate_001-Group_001-B4 PBS-0.5-R1,"63576","100.00","100.00","100.00","646.56","56093","88.23","88.23","88.23","570.46","455","0.81","0.72","0.72","4.63","13","0.02","0.02","0.02","0.13","55621","99.16","87.49","87.49","565.66","423","0.75","0.67","0.67","4.30"
Exp4_SGE_07192023-Plate_001-Group_001-B5 PBS-1.0-R1,"245000","100.00","100.00","100.00","2392.34","213200","87.02","87.02","87.02","2081.83","2551","1.20","1.04","1.04","24.91","75","0.04","0.03","0.03","0.73","210538","98.75","85.93","85.93","2055.83","2404","1.13","0.98","0.98","23.47"
Exp4_SGE_07192023-Plate_001-Group_001-B6 M-0.5-R1,"35032","100.00","100.00","100.00","352.29","26570","75.84","75.84","75.84","267.20","585","2.20","1.67","1.67","5.88","27","0.10","0.08","0.08","0.27","25954","97.68","74.09","74.09","261.00","579","2.18","1.65","1.65","5.82"
Exp4_SGE_07192023-Plate_001-Group_001-B7 M-1.0-R1,"228128","100.00","100.00","100.00","2243.15","197348","86.51","86.51","86.51","1940.49","3669","1.86","1.61","1.61","36.08","37","0.02","0.02","0.02","0.36","193642","98.12","84.88","84.88","1904.05","3386","1.72","1.48","1.48","33.29"
Exp4_SGE_07192023-Plate_001-Group_001-B8 F-0.5-R1,"61944","100.00","100.00","100.00","616.05","43472","70.18","70.18","70.18","432.34","456","1.05","0.74","0.74","4.54","15","0.03","0.02","0.02","0.15","42997","98.91","69.41","69.41","427.62","368","0.85","0.59","0.59","3.66"
Exp4_SGE_07192023-Plate_001-Group_001-B9 F-1.0-R1,"180752","100.00","100.00","100.00","1790.16","152846","84.56","84.56","84.56","1513.78","1388","0.91","0.77","0.77","13.75","34","0.02","0.02","0.02","0.34","151416","99.06","83.77","83.77","1499.61","1655","1.08","0.92","0.92","16.39"
Exp4_SGE_07192023-Plate_001-Group_001-C4 PBS-0.5-R2,"18120","100.00","100.00","100.00","179.14","12583","69.44","69.44","69.44","124.40","124","0.99","0.68","0.68","1.23","3","0.02","0.02","0.02","0.03","12455","98.98","68.74","68.74","123.13","147","1.17","0.81","0.81","1.45"
Exp4_SGE_07192023-Plate_001-Group_001-C5 PBS-1.0-R2,"181960","100.00","100.00","100.00","1791.12","156934","86.25","86.25","86.25","1544.78","1756","1.12","0.97","0.97","17.29","32","0.02","0.02","0.02","0.31","155135","98.85","85.26","85.26","1527.07","2112","1.35","1.16","1.16","20.79"
Exp4_SGE_07192023-Plate_001-Group_001-C6 M-0.5-R2,"11528","100.00","100.00","100.00","114.89","4372","37.93","37.93","37.93","43.57","207","4.73","1.80","1.80","2.06","4","0.09","0.03","0.03","0.04","4161","95.17","36.09","36.09","41.47","217","4.96","1.88","1.88","2.16"
Exp4_SGE_07192023-Plate_001-Group_001-C7 M-1.0-R2,"125544","100.00","100.00","100.00","1250.69","96892","77.18","77.18","77.18","965.25","1324","1.37","1.05","1.05","13.19","32","0.03","0.03","0.03","0.32","95531","98.60","76.09","76.09","951.69","1591","1.64","1.27","1.27","15.85"
Exp4_SGE_07192023-Plate_001-Group_001-C8 F-0.5-R2,"46968","100.00","100.00","100.00","465.77","15032","32.00","32.00","32.00","149.07","542","3.61","1.15","1.15","5.37","3","0.02","0.01","0.01","0.03","14487","96.37","30.84","30.84","143.66","655","4.36","1.39","1.39","6.50"
Exp4_SGE_07192023-Plate_001-Group_001-C9 F-1.0-R2,"121080","100.00","100.00","100.00","1207.30","95504","78.88","78.88","78.88","952.28","1042","1.09","0.86","0.86","10.39","20","0.02","0.02","0.02","0.20","94442","98.89","78.00","78.00","941.69","1330","1.39","1.10","1.10","13.26"
Exp4_SGE_07192023-Plate_001-Group_001-D4 PBS-0.5-R3,"80352","100.00","100.00","100.00","818.33","65735","81.81","81.81","81.81","669.47","514","0.78","0.64","0.64","5.23","8","0.01","0.01","0.01","0.08","65212","99.20","81.16","81.16","664.14","621","0.94","0.77","0.77","6.32"
Exp4_SGE_07192023-Plate_001-Group_001-D5 PBS-1.0-R3,"228920","100.00","100.00","100.00","2264.96","192940","84.28","84.28","84.28","1908.97","2314","1.20","1.01","1.01","22.90","32","0.02","0.01","0.01","0.32","190593","98.78","83.26","83.26","1885.75","2402","1.24","1.05","1.05","23.77"
Exp4_SGE_07192023-Plate_001-Group_001-D6 M-0.5-R3,"21736","100.00","100.00","100.00","222.02","11614","53.43","53.43","53.43","118.63","348","3.00","1.60","1.60","3.55","2","0.02","0.01","0.01","0.02","11264","96.99","51.82","51.82","115.06","354","3.05","1.63","1.63","3.62"
Exp4_SGE_07192023-Plate_001-Group_001-D7 M-1.0-R3,"180504","100.00","100.00","100.00","1802.88","152069","84.25","84.25","84.25","1518.87","1858","1.22","1.03","1.03","18.56","35","0.02","0.02","0.02","0.35","150173","98.75","83.20","83.20","1499.93","1930","1.27","1.07","1.07","19.28"
Exp4_SGE_07192023-Plate_001-Group_001-D8 F-0.5-R3,"68856","100.00","100.00","100.00","683.50","49730","72.22","72.22","72.22","493.65","426","0.86","0.62","0.62","4.23","7","0.01","0.01","0.01","0.07","49295","99.13","71.59","71.59","489.33","457","0.92","0.66","0.66","4.54"
Exp4_SGE_07192023-Plate_001-Group_001-D9 F-1.0-R3,"178336","100.00","100.00","100.00","1794.67","149371","83.76","83.76","83.76","1503.18","949","0.64","0.53","0.53","9.55","28","0.02","0.02","0.02","0.28","148360","99.32","83.19","83.19","1493.01","1031","0.69","0.58","0.58","10.38"
Exp4_SGE_07192023-Plate_001-Group_001-E4 PBS-0.5-R4,"73256","100.00","100.00","100.00","725.95","60444","82.51","82.51","82.51","598.99","489","0.81","0.67","0.67","4.85","15","0.02","0.02","0.02","0.15","59940","99.17","81.82","81.82","593.99","355","0.59","0.48","0.48","3.52"
Exp4_SGE_07192023-Plate_001-Group_001-E5 PBS-1.0-R4,"229192","100.00","100.00","100.00","2270.58","119720","52.24","52.24","52.24","1186.05","1322","1.10","0.58","0.58","13.10","36","0.03","0.02","0.02","0.36","118357","98.86","51.64","51.64","1172.55","1376","1.15","0.60","0.60","13.63"
Exp4_SGE_07192023-Plate_001-Group_001-E6 M-0.5-R4,"66552","100.00","100.00","100.00","704.70","49836","74.88","74.88","74.88","527.70","774","1.55","1.16","1.16","8.20","16","0.03","0.02","0.02","0.17","49040","98.40","73.69","73.69","519.27","792","1.59","1.19","1.19","8.39"
Exp4_SGE_07192023-Plate_001-Group_001-E7 M-1.0-R4,"214264","100.00","100.00","100.00","2141.57","183747","85.76","85.76","85.76","1836.55","2707","1.47","1.26","1.26","27.06","33","0.02","0.02","0.02","0.33","181006","98.51","84.48","84.48","1809.16","2765","1.50","1.29","1.29","27.64"
Exp4_SGE_07192023-Plate_001-Group_001-E8 F-0.5-R4,"72656","100.00","100.00","100.00","731.76","51255","70.54","70.54","70.54","516.22","480","0.94","0.66","0.66","4.83","9","0.02","0.01","0.01","0.09","50763","99.04","69.87","69.87","511.26","437","0.85","0.60","0.60","4.40"
Exp4_SGE_07192023-Plate_001-Group_001-E9 F-1.0-R4,"180016","100.00","100.00","100.00","2149.19","145670","80.92","80.92","80.92","1739.14","1502","1.03","0.83","0.83","17.93","22","0.02","0.01","0.01","0.26","144130","98.94","80.07","80.07","1720.75","1461","1.00","0.81","0.81","17.44"
Exp4_SGE_07192023-Plate_001-Group_001-F4 PBS-0.5-R5,"106960","100.00","100.00","100.00","1065.02","94817","88.65","88.65","88.65","944.11","609","0.64","0.57","0.57","6.06","14","0.01","0.01","0.01","0.14","94192","99.34","88.06","88.06","937.89","668","0.70","0.62","0.62","6.65"
Exp4_SGE_07192023-Plate_001-Group_001-F5 PBS-1.0-R5,"169832","100.00","100.00","100.00","1679.18","147590","86.90","86.90","86.90","1459.26","1663","1.13","0.98","0.98","16.44","43","0.03","0.03","0.03","0.43","145878","98.84","85.90","85.90","1442.34","1463","0.99","0.86","0.86","14.47"
Exp4_SGE_07192023-Plate_001-Group_001-F6 M-0.5-R5,"102120","100.00","100.00","100.00","1053.11","85365","83.59","83.59","83.59","880.32","1246","1.46","1.22","1.22","12.85","62","0.07","0.06","0.06","0.64","84046","98.45","82.30","82.30","866.72","1138","1.33","1.11","1.11","11.74"
Exp4_SGE_07192023-Plate_001-Group_001-F7 M-1.0-R5,"237728","100.00","100.00","100.00","2350.25","204137","85.87","85.87","85.87","2018.16","3049","1.49","1.28","1.28","30.14","35","0.02","0.01","0.01","0.35","201051","98.49","84.57","84.57","1987.65","2930","1.44","1.23","1.23","28.97"
Exp4_SGE_07192023-Plate_001-Group_001-F8 F-0.5-R5,"73144","100.00","100.00","100.00","726.00","45718","62.50","62.50","62.50","453.78","491","1.07","0.67","0.67","4.87","6","0.01","0.01","0.01","0.06","45218","98.91","61.82","61.82","448.81","514","1.12","0.70","0.70","5.10"
Exp4_SGE_07192023-Plate_001-Group_001-F9 F-1.0-R5,"195168","100.00","100.00","100.00","2053.75","129805","66.51","66.51","66.51","1365.94","1805","1.39","0.92","0.92","18.99","21","0.02","0.01","0.01","0.22","127977","98.59","65.57","65.57","1346.70","2005","1.54","1.03","1.03","21.10"
